name,phone,address,city,state,zip
Fairmont San Francisco,+1 (415) 772-5000,950 Mason St, San Francisco, CA,94108
The Westin St. Francis,+1 (415) 397-7000,335 Powell St, San Francisco, CA,94102
Argonaut Hotel,+1 (415) 563-0800,495 Jefferson St, San Francisco, CA,94109
Infinity Hotel San Francisco,+1 (415) 913-7311,2322 Lombard St, San Francisco, CA,94123
Axiom Hotel,+1 (415) 392-9466,28 Cyril Magnin St, San Francisco, CA,94102
1 Hotel San Francisco,+1 (415) 821-1000,200 Mission St, San Francisco, CA,94105
Four Seasons Hotel San Francisco,+1 (415) 633-3000,757 Market St, San Francisco, CA,94103
Mansion on Sutter,+1 (415) 398-1111,55 5th St, San Francisco, CA,94103
Phoenix Hotel,+1 (415) 776-1380,601 Eddy St, San Francisco, CA,94109
The Ritz-Carlton San Francisco,+1 (415) 296-7465,600 Stockton St, San Francisco, CA,94108
Sheraton Grand Los Angeles,+1 (213) 617-1133,333 S Figueroa St, Los Angeles, CA,90071
Figueroa Hotel,+1 (213) 627-8971,939 S Figueroa St, Los Angeles, CA,90015
Fairmont Century Plaza,+1 (310) 424-3030,2025 Avenue of the Stars, Los Angeles, CA,90067
Mondrian Los Angeles,+1 (323) 650-8999,8440 Sunset Blvd, West Hollywood, CA,90069
The Westgate Hotel,+1 (619) 238-1818,1055 Second Ave, San Diego, CA,92101
The Beverly Hilton,+1 (310) 274-7777,9876 Wilshire Blvd, Beverly Hills, CA,90210
JW Marriott Los Angeles,+1 (213) 765-8600,900 W Olympic Blvd, Los Angeles, CA,90015
The Hollywood Roosevelt,+1 (323) 856-1970,7000 Hollywood Blvd, Los Angeles, CA,90028
The Haas Trademark Collection,+1 (213) 880-1425,219 W 7th St, Los Angeles, CA,90014
Palihotel Hollywood,+1 (888) 725-4737,7023 W Sunset Blvd, Los Angeles, CA,90028
The Ritz-Carlton New York,+1 (212) 308-9100,50 Central Park S, New York, NY,10019
St. Regis New York,+1 (212) 753-4500,2 E 55th St, New York, NY,10022
The Plaza Hotel,+1 (212) 759-3000,768 5th Ave, New York, NY,10019
Wyndham Garden Hotel,+1 (716) 845-0112,125 High St, Buffalo, NY,14203
Fairfield Inn & Suites Queensboro Bridge,+1 (718) 482-0100,29-27 40th Rd, Long Island City, NY,11101
Four Seasons Hotel New York,+1 (212) 758-5700,57 E 57th St, New York, NY,10022
Loews Regency New York,+1 (212) 320-8019,120 E 31st St, New York, NY,10016
The Peninsula New York,+1 (212) 956-2888,700 5th Ave, New York, NY,10019
Waldorf Astoria New York,+1 (212) 355-3000,301 Park Ave, New York, NY,10022
The Park Lane New York,+1 (212) 872-4500,119 W 56th St, New York, NY,10019
Little America Hotel,+1 (801) 596-5700,500 S Main St, Salt Lake City, UT,84101
Hilton Garden Inn Salt Lake City Downtown,+1 (801) 364-5200,250 W 600 S, Salt Lake City, UT,84101
Courtyard by Marriott Salt Lake City Downtown,+1 (801) 531-0800,345 W 100 S, Salt Lake City, UT,84101
Hyatt Place Salt Lake City/Downtown,+1 (801) 456-6300,55 N 400 W, Salt Lake City, UT,84101
The Peery Hotel,+1 (801) 521-4300,110 W Broadway, Salt Lake City, UT,84101
Grand America Hotel,+1 (801) 582-1847,255 S West Temple, Salt Lake City, UT,84101
Hilton Salt Lake City Center,+1 (801) 328-2000,255 S West Temple, Salt Lake City, UT,84101
Marriott Salt Lake City Downtown,+1 (801) 531-0800,75 S West Temple, Salt Lake City, UT,84101
Kimpton Hotel Monaco Salt Lake City,+1 (801) 595-0000,15 W 200 S, Salt Lake City, UT,84101
La Quinta Inn & Suites Salt Lake City Airport,+1 (801) 366-4444,4905 Wiley Post Way, Salt Lake City, UT,84116
The Westin Book Cadillac Detroit,+1 (313) 442-1600,1114 Washington Blvd, Detroit, MI,48226
MGM Grand Detroit,+1 (313) 465-1777,1777 3rd Ave, Detroit, MI,48226
Detroit Foundation Hotel,+1 (313) 800-5500,250 W Larned St, Detroit, MI,48226
Hotel St. Regis Detroit,+1 (313) 832-4000,3071 W Grand Blvd, Detroit, MI,48202
Inn at St. John's Plymouth Detroit,+1 (734) 414-0600,44045 Five Mile Rd, Plymouth, MI,48170
Hilton Garden Inn Detroit Downtown,+1 (313) 967-0900,351 Gratiot Ave, Detroit, MI,48226
Aloft Detroit at The David Whitney,+1 (313) 309-0500,1000 Brush St, Detroit, MI,48226
Element Detroit at The Metropolitan,+1 (313) 306-8310,250 River E Dr, Detroit, MI,48226
Detroit Marriott at the Renaissance Center,+1 (313) 568-8000,400 Renaissance Dr W, Detroit, MI,48243
The Siren Hotel,+1 (313) 967-0200,1331 Trumbull St, Detroit, MI,48216
Fairmont Chicago Millennium Park,+1 (312) 565-8000,200 N Columbus Dr, Chicago, IL,60601
The Westin Chicago River North,+1 (312) 744-1900,320 N Dearborn St, Chicago, IL,60654
Sofitel Chicago Magnificent Mile,+1 (312) 944-6500,20 E Chestnut St, Chicago, IL,60611
Hampton Inn Chicago Downtown,+1 (312) 419-9014,68 E Wacker Pl, Chicago, IL,60601
21c Museum Hotel Chicago,+1 (312) 660-6100,55 E Ontario St, Chicago, IL,60611
Four Seasons Hotel Chicago,+1 (312) 280-8800,120 E Delaware Pl, Chicago, IL,60611
The Peninsula Chicago,+1 (312) 337-2888,108 E Superior St, Chicago, IL,60611
The Ritz-Carlton Chicago,+1 (312) 266-1000,160 E Pearson St, Chicago, IL,60611
The Langham Chicago,+1 (312) 923-9988,330 N Wabash Ave, Chicago, IL,60611
Kimpton Gray Hotel,+1 (312) 750-8888,122 W Monroe St, Chicago, IL,60603
Hilton Houston Post Oak,+1 (713) 961-9300,2001 Post Oak Blvd, Houston, TX,77056
The St. Regis Houston,+1 (713) 840-7600,1910 Briar Oaks Ln, Houston, TX,77027
Hotel ICON Autograph Collection,+1 (713) 224-4266,220 Main St, Houston, TX,77002
JW Marriott Houston Downtown,+1 (713) 237-1111,806 Main St, Houston, TX,77002
Hilton Americas-Houston,+1 (713) 739-8000,1600 Lamar St, Houston, TX,77010
Four Seasons Hotel Houston,+1 (713) 650-1300,1300 Lamar St, Houston, TX,77010
The Ritz-Carlton Houston,+1 (713) 622-3600,5085 Westheimer Rd, Houston, TX,77056
Hyatt Regency Houston,+1 (713) 654-1234,1200 Louisiana St, Houston, TX,77002
Marriott Marquis Houston,+1 (713) 221-0100,1777 Walker St, Houston, TX,77010
Kimpton Hotel Casablanca Houston,+1 (713) 739-8800,1701 Commerce St, Houston, TX,77002
The Ritz-Carlton Philadelphia,+1 (215) 523-8000,10 Avenue Of The Arts, Philadelphia, PA,19102
The Bellevue Hotel,+1 (215) 893-1234,200 S Broad St, Philadelphia, PA,19102
Loews Philadelphia Hotel,+1 (215) 627-1200,1200 Market St, Philadelphia, PA,19107
Sofitel Philadelphia at Rittenhouse Square,+1 (215) 569-8300,120 S 17th St, Philadelphia, PA,19103
The Logan Philadelphia,+1 (215) 963-1500,1 Logan Square, Philadelphia, PA,19103
Four Seasons Hotel Philadelphia,+1 (215) 419-5000,1 N 19th St, Philadelphia, PA,19103
The Rittenhouse Hotel,+1 (215) 546-9000,210 W Rittenhouse Square, Philadelphia, PA,19103
Kimpton Hotel Monaco Philadelphia,+1 (215) 925-2111,433 Chestnut St, Philadelphia, PA,19106
Hilton Philadelphia at Penn's Landing,+1 (215) 521-6500,201 S Christopher Columbus Blvd, Philadelphia, PA,19106
The Warwick Hotel Rittenhouse Square,+1 (215) 735-6000,220 S 17th St, Philadelphia, PA,19103
Fairmont Copley Plaza,+1 (617) 267-5300,138 St James Ave, Boston, MA,02116
The Westin Boston Seaport District,+1 (617) 532-4600,425 Summer St, Boston, MA,02210
The Liberty a Luxury Collection Hotel,+1 (617) 224-4000,215 Charles St, Boston, MA,02114
Omni Boston Hotel at the Seaport,+1 (617) 476-6664,450 Summer St, Boston, MA,02210
Four Seasons Hotel Boston,+1 (617) 338-4400,200 Boylston St, Boston, MA,02116
The Ritz-Carlton Boston,+1 (617) 536-5700,10 Avery St, Boston, MA,02111
Mandarin Oriental Boston,+1 (617) 535-8888,776 Boylston St, Boston, MA,02199
The Langham Boston,+1 (617) 451-1900,250 Franklin St, Boston, MA,02110
Hilton Boston Park Plaza,+1 (617) 426-2000,50 Park Plaza, Boston, MA,02116
The Newbury Boston,+1 (617) 670-1500,1 Newbury St, Boston, MA,02116
The Adolphus Autograph Collection,+1 (214) 742-8200,1321 Commerce St, Dallas, TX,75202
The Joule,+1 (214) 748-1300,1530 Main St, Dallas, TX,75201
Hilton Anatole,+1 (214) 748-1200,2201 N Stemmons Fwy, Dallas, TX,75207
Fairmont Dallas,+1 (214) 720-2020,1717 N Akard St, Dallas, TX,75201
Omni Dallas Hotel,+1 (214) 744-6664,555 S Lamar St, Dallas, TX,75202
The Ritz-Carlton Dallas,+1 (214) 922-0200,2121 McKinney Ave, Dallas, TX,75201
Rosewood Mansion on Turtle Creek,+1 (214) 559-2100,2821 Turtle Creek Blvd, Dallas, TX,75219
Hotel Crescent Court,+1 (214) 871-3200,400 Crescent Ct, Dallas, TX,75201
W Dallas - Victory,+1 (214) 397-4100,2440 Victory Park Ln, Dallas, TX,75219
The Statler Dallas,+1 (214) 761-8919,1914 Commerce St, Dallas, TX,75201